Reference period,All-items,Food,Shelter,Transportation
January 2000,94,91.8,93.8,94.7
February 2000,94.3,91.8,94.4,95.6
March 2000,94.8,92.1,94.5,97.5
April 2000,94.4,92.3,94.5,96.1
May 2000,94.7,92.8,94.7,96.6
June 2000,95.3,93.1,95,98
July 2000,95.6,93.6,95.5,97.6
August 2000,95.5,94.1,95.8,96.7
September 2000,95.9,94.3,96.3,98.1
October 2000,96.3,94.3,97.2,97.8
November 2000,96.8,94.3,97.7,99.7
December 2000,97,95.3,98.1,98.5
January 2001,96.8,95,97.5,97.6
February 2001,96.9,95.9,97.4,97.8
March 2001,97.1,96.6,98.3,96.8
April 2001,97.8,96.9,98.9,98.3
May 2001,98.4,97.5,100,99.7
June 2001,98.4,97.5,100.3,98.9
July 2001,98.1,97.9,99.9,97
August 2001,98.2,98,99.9,97.4
September 2001,98.4,98.2,99.6,98.9
October 2001,98.1,98.4,99.8,96.9
November 2001,97.4,98.1,98.4,94.4
December 2001,97.7,98.7,98.9,93.7
January 2002,98.1,99.3,99.3,94.4
February 2002,98.4,100.1,99.4,94.8
March 2002,98.8,99.7,99.4,97.1
April 2002,99.5,100.2,99.1,99.5
May 2002,99.4,99.6,99.4,99.8
June 2002,99.6,99.7,99.4,99.7
July 2002,100.3,99.8,99.5,100.7
August 2002,100.7,100.1,100.3,101.9
September 2002,100.8,100.2,100.7,101.8
October 2002,101.3,99.9,101.8,102.6
November 2002,101.6,100.7,101.7,103.5
December 2002,101.5,100.7,100.2,104.2
January 2003,102.4,101.3,102.1,105.6
February 2003,102.9,101.4,102.5,107.2
March 2003,103,101.5,103.2,107.6
April 2003,102.3,101.3,102.4,105.5
May 2003,102.1,101.7,102.9,104
June 2003,102.3,101.7,103.4,103.8
July 2003,102.5,101.8,103.3,104.1
August 2003,102.8,101.7,103.4,105.9
September 2003,103,101.9,103.6,105.6
October 2003,102.9,101.9,103.9,103.9
November 2003,103.1,102.1,103.9,104.8
December 2003,103.6,102.5,104.4,104.7
January 2004,103.7,102.4,104.3,105.8
February 2004,103.7,102.6,104.6,105.6
March 2004,103.7,102.5,104.6,106.2
April 2004,104,102.2,105.1,106.7
May 2004,104.7,103,105.3,110.2
June 2004,104.8,103.7,105.7,109.4
July 2004,104.8,103.9,106,108.8
August 2004,104.7,104.3,106.2,107.6
September 2004,104.8,104.7,106.5,106.9
October 2004,105.2,105.3,107,107.6
November 2004,105.7,105.6,107.4,109.1
December 2004,105.8,105.6,107.5,108.5
January 2005,105.8,105.1,107.5,108.8
February 2005,105.9,104.9,107.7,109.3
March 2005,106.2,105.4,108.1,110.3
April 2005,106.4,106.5,108.4,111.2
May 2005,106.3,106.4,108.6,110.9
June 2005,106.6,106.5,108.8,111.3
July 2005,106.8,106.5,109.4,111.8
August 2005,107.3,106.9,109.3,113.9
September 2005,108.3,106.8,110,116.7
October 2005,108.1,107.2,110.7,114
November 2005,107.9,107.1,110.8,113.2
December 2005,108,107.4,110.5,113.1
January 2006,108.9,107.9,111.8,114.7
February 2006,108.5,107.9,111.7,112.7
March 2006,108.6,108.1,111.9,114.2
April 2006,109.1,108.1,112.2,117.9
May 2006,109.2,108.3,113,117.8
June 2006,109.1,108.6,112.8,117.3
July 2006,109.2,108.8,113.2,118.3
August 2006,109.4,109.3,113.5,118
September 2006,109,109.7,114,112.8
October 2006,109.1,110.2,114.1,111.7
November 2006,109.5,110.4,114.1,112.7
December 2006,109.9,109.9,114.6,114.1
January 2007,110.2,110.6,114.8,113.3
February 2007,110.6,112.3,114.9,114.2
March 2007,111.2,112,115.4,117.7
April 2007,111.5,112.1,116.2,118.6
May 2007,111.5,112.1,116,120.7
June 2007,111.3,111.9,116.8,119.2
July 2007,111.4,111.9,117,118.5
August 2007,111.3,111.9,117.6,116.3
September 2007,111.7,111.8,117.8,116.9
October 2007,111.9,111.7,118.7,115.2
November 2007,112.2,111.7,118.8,116.7
December 2007,112.6,111.8,119.2,117.5
January 2008,112.4,112.1,119.2,118.7
February 2008,112.6,112.5,119.6,118.4
March 2008,112.8,112.8,120.1,118
April 2008,113.3,113.1,121.2,119.6
May 2008,114.1,114.3,121.6,121.7
June 2008,114.9,115.2,122.3,124
July 2008,115.4,116,123.3,124
August 2008,115.4,116.8,123.8,122.4
September 2008,115.5,118,123.1,122.3
October 2008,114.7,118.5,123.2,118.3
November 2008,114.3,119.7,123.4,114.2
December 2008,113.9,119.9,123.4,111.7
January 2009,113.7,120.4,123.1,109.8
February 2009,114.1,121,123.2,111.5
March 2009,114,121.4,122.6,110.7
April 2009,113.7,121.5,121.4,109.8
May 2009,114.2,121.5,121.4,111.6
June 2009,114.7,121.6,121.3,114.6
July 2009,114.3,121.6,120.9,113
August 2009,114.5,121.4,121.1,114.4
September 2009,114.6,121.2,120.9,113.5
October 2009,114.8,121.3,121.2,114.6
November 2009,115.4,121.8,121.3,116.3
December 2009,115.4,122.1,121.3,117
January 2010,115.8,122.2,121.8,117.6
February 2010,115.9,122.4,121.8,117.5
March 2010,115.6,122.9,121.7,116.8
April 2010,115.6,122.7,122.4,115.9
May 2010,115.7,122.5,123,116
June 2010,116,122.5,123.3,116.5
July 2010,116.6,123,124.3,116.7
August 2010,116.5,123.3,124,117.4
September 2010,116.7,123.7,123.9,117.7
October 2010,117.4,123.8,124.6,120.1
November 2010,117.7,123.4,124.4,121.5
December 2010,118.2,124.2,124.6,122.4
January 2011,118.4,124.6,124.5,123.2
February 2011,118.3,124.7,124.5,123.3
March 2011,119.1,126.8,124.6,124.2
April 2011,119.6,127,125.2,125.7
May 2011,120,127.5,125.2,126.6
June 2011,119.6,128,125.4,124.8
July 2011,119.8,128.4,125.9,124.5
August 2011,120.1,128.6,126.2,125.6
September 2011,120.5,129.1,125.7,126.9
October 2011,120.9,129.2,126.5,127.8
November 2011,121,129.4,126.3,128.5
December 2011,120.8,129.7,126.8,126.7
January 2012,121.5,130,127.1,128.2
February 2012,121.4,129.8,126.9,128.4
March 2012,121.5,129.7,126.6,128.9
April 2012,121.9,130.2,126.6,130.1
May 2012,121.5,130.5,126.7,127.9
June 2012,121.2,130.4,127,126.3
July 2012,121.2,131,127.2,126
August 2012,121.7,131.4,127.4,127.6
September 2012,121.9,131.2,127.2,128.7
October 2012,122.2,131.7,127.6,129.3
November 2012,122.1,131.7,127.5,128.2
December 2012,122,131.7,127.5,127.7
January 2013,122.1,131.1,127.8,127.7
February 2013,122.9,132.3,127.9,131.1
March 2013,122.8,132.3,128,129
April 2013,122.3,132,128.2,127.8
May 2013,122.3,132,128.3,127.6
June 2013,122.6,132,128.5,128.8
July 2013,122.8,132.2,128.8,128.9
August 2013,122.9,132.9,128.8,129
September 2013,123.1,132.9,129,129.5
October 2013,123,132.9,129.2,129.5
November 2013,123.2,133.2,129.8,128.7
December 2013,123.6,133,129.9,130.3
January 2014,123.9,132.6,130.5,130.2
February 2014,124.3,133.5,130.7,131.5
March 2014,124.5,133.9,131.4,131.1
April 2014,125,134.6,132.4,131.3
May 2014,125.1,135.1,132.6,131
June 2014,125.4,135.9,132.2,131.3
July 2014,125.4,136,132.6,130.7
August 2014,125.5,135.8,132.4,130.8
September 2014,125.7,136.6,132.5,130.3
October 2014,125.9,136.7,132.8,130.5
November 2014,125.7,137.4,132.8,128.6
December 2014,125.5,138,133,126.8
January 2015,125.1,138.6,133.1,123.2
February 2015,125.5,138.7,133.1,124.8
March 2015,126.1,139,133.3,126.3
April 2015,125.8,139.4,133.1,125.6
May 2015,126.3,140.2,133.2,126.6
June 2015,126.8,140.4,133.5,128.3
July 2015,127.1,140.3,133.8,128.7
August 2015,127.1,140.7,133.9,128
September 2015,127,141.5,133.9,125.6
October 2015,127.2,142.4,134.3,126.3
November 2015,127.3,142.2,134.4,126.8
December 2015,127.4,143.1,134.5,127.1
January 2016,127.5,144.1,134.6,125.9
February 2016,127.2,144.2,134.7,124.3
March 2016,127.7,144.2,134.8,125.1
April 2016,127.9,143.5,134.9,126.9
May 2016,128.3,142.7,135.1,128
June 2016,128.6,142.2,135.6,129.6
July 2016,128.6,142.5,136,128.4
August 2016,128.6,142.2,136.2,128.3
September 2016,128.7,141.6,136.2,128.5
October 2016,129.1,141.5,136.9,130.1
November 2016,128.8,141.4,137.2,128.7
December 2016,129.3,141.2,137.3,130.9
January 2017,130.2,140.9,137.8,133.8
February 2017,129.8,140.9,137.6,132.4
March 2017,129.7,141.2,137.7,131
April 2017,130.1,142,137.9,132.3
May 2017,129.9,142.4,137.7,131
June 2017,129.9,143,137.8,130.4
July 2017,130.2,143.4,137.7,130.8
August 2017,130.4,143.6,138,131.9
September 2017,130.7,143.6,138.1,133.4
October 2017,130.9,143.4,138.6,134.1
November 2017,131.6,143.6,138.9,136.2
December 2017,131.7,143.9,139.2,137.1
January 2018,132.4,144,139.7,138.1
February 2018,132.6,144,140,138.1
March 2018,132.7,143.9,140,138.6
April 2018,132.8,144.3,140.3,138.3
May 2018,132.9,144.2,140.4,138.5
June 2018,133.1,145,140.5,138.9
July 2018,133.7,145.3,141,140.4
August 2018,133.9,145.7,141.2,140.6
September 2018,133.8,146,141.5,139.7
